Regular round: 1200, training accuracy = 0.418.
Regular round: 1400, training accuracy = 0.418.
Regular round: 1600, training accuracy = 0.418.
Regular round: 1800, training accuracy = 0.418.
Regular round: 2000, training accuracy = 0.5.
Regular round: 2200, training accuracy = 0.5.
Regular round: 2400, training accuracy = 0.5.
Regular round: 2600, training accuracy = 0.5.
Regular round: 2800, training accuracy = 0.5.
Regular round: 3000, training accuracy = 0.608.
Regular round: 3200, training accuracy = 0.608.
Regular round: 3400, training accuracy = 0.608.
Regular round: 3600, training accuracy = 0.608.
Regular round: 3800, training accuracy = 0.608.
Regular round: 4000, training accuracy = 0.608.
Regular round: 4200, training accuracy = 0.608.
Regular round: 4400, training accuracy = 0.608.
Regular round: 4600, training accuracy = 0.608.
Regular round: 4800, training accuracy = 0.608.
Regular round: 5000, training accuracy = 0.608.
Regular round: 5200, training accuracy = 0.608.
Regular round: 5400, training accuracy = 0.608.
Regular round: 5600, training accuracy = 0.608.
Regular round: 5800, training accuracy = 0.608.
Regular round: 6000, training accuracy = 0.608.
Regular round: 6200, training accuracy = 0.608.
Regular round: 6400, training accuracy = 0.608.
Regular round: 6600, training accuracy = 0.608.
Regular round: 6800, training accuracy = 0.608.
Regular round: 7000, training accuracy = 0.608.
Regular round: 7200, training accuracy = 0.608.
Regular round: 7400, training accuracy = 0.726.
Regular round: 7600, training accuracy = 0.716.
Regular round: 7800, training accuracy = 0.74.
Regular round: 8000, training accuracy = 0.738.
Regular round: 8200, training accuracy = 0.768.
Regular round: 8400, training accuracy = 0.792.
Regular round: 8600, training accuracy = 0.802.
Regular round: 8800, training accuracy = 0.804.
Regular round: 9000, training accuracy = 0.818.
Regular round: 9200, training accuracy = 0.816.
Regular round: 9400, training accuracy = 0.802.
Regular round: 9600, training accuracy = 0.81.
Regular round: 9800, training accuracy = 0.822.
Regular round: 10000, training accuracy = 0.842.
Regular round: 10200, training accuracy = 0.85.
Regular round: 10400, training accuracy = 0.864.
Regular round: 10600, training accuracy = 0.866.
Regular round: 10800, training accuracy = 0.866.
Regular round: 11000, training accuracy = 0.866.
Regular round: 11200, training accuracy = 0.868.
Regular round: 11400, training accuracy = 0.868.
Regular round: 11600, training accuracy = 0.868.
Regular round: 11800, training accuracy = 0.87.
Regular round: 12000, training accuracy = 0.87.
Regular round: 12200, training accuracy = 0.872.
Regular round: 12400, training accuracy = 0.872.
Regular round: 12600, training accuracy = 0.872.
Regular round: 12800, training accuracy = 0.874.
Regular round: 13000, training accuracy = 0.874.
Regular round: 13200, training accuracy = 0.874.
Regular round: 13400, training accuracy = 0.876.
Regular round: 13600, training accuracy = 0.876.
Regular round: 13800, training accuracy = 0.876.
Regular round: 14000, training accuracy = 0.876.
Regular round: 14200, training accuracy = 0.878.
Regular round: 14400, training accuracy = 0.878.
Regular round: 14600, training accuracy = 0.878.
Regular round: 14800, training accuracy = 0.878.
Regular round: 15000, training accuracy = 0.88.
Regular round: 15200, training accuracy = 0.88.
Regular round: 15400, training accuracy = 0.882.
Regular round: 15600, training accuracy = 0.882.
Regular round: 15800, training accuracy = 0.882.
Regular round: 16000, training accuracy = 0.882.
Regular round: 16200, training accuracy = 0.882.
Regular round: 16400, training accuracy = 0.884.
Regular round: 16600, training accuracy = 0.886.
Regular round: 16800, training accuracy = 0.886.
Regular round: 17000, training accuracy = 0.886.
Regular round: 17200, training accuracy = 0.886.
Regular round: 17400, training accuracy = 0.886.
Regular round: 17600, training accuracy = 0.886.
Regular round: 17800, training accuracy = 0.886.
Regular round: 18000, training accuracy = 0.886.
Regular round: 18200, training accuracy = 0.888.
Regular round: 18400, training accuracy = 0.888.
Regular round: 18600, training accuracy = 0.89.
Regular round: 18800, training accuracy = 0.89.
Regular round: 19000, training accuracy = 0.89.
Regular round: 19200, training accuracy = 0.89.
Regular round: 19400, training accuracy = 0.892.
Regular round: 19600, training accuracy = 0.894.
Regular round: 19800, training accuracy = 0.894.
Regular round: 20000, training accuracy = 0.898.
Regular round: 20200, training accuracy = 0.9.
Regular round: 20400, training accuracy = 0.9.
Regular round: 20600, training accuracy = 0.9.
Regular round: 20800, training accuracy = 0.898.
Regular round: 21000, training accuracy = 0.9.
Regular round: 21200, training accuracy = 0.9.
Regular round: 21400, training accuracy = 0.9.
Regular round: 21600, training accuracy = 0.902.
Regular round: 21800, training accuracy = 0.902.
Regular round: 22000, training accuracy = 0.902.
Regular round: 22200, training accuracy = 0.902.
Regular round: 22400, training accuracy = 0.902.
Regular round: 22600, training accuracy = 0.902.
Regular round: 22800, training accuracy = 0.902.
Regular round: 23000, training accuracy = 0.902.
Regular round: 23200, training accuracy = 0.902.
Regular round: 23400, training accuracy = 0.904.
Regular round: 23600, training accuracy = 0.906.
Regular round: 23800, training accuracy = 0.904.
Regular round: 24000, training accuracy = 0.962.
Regular round: 24200, training accuracy = 0.962.
Regular round: 24400, training accuracy = 0.962.
Regular round: 24600, training accuracy = 0.962.
Regular round: 24800, training accuracy = 0.962.
Regular round: 25000, training accuracy = 0.962.
Regular round: 25200, training accuracy = 0.962.
Regular round: 25400, training accuracy = 0.964.
Regular round: 25600, training accuracy = 0.964.
Regular round: 25800, training accuracy = 0.964.
Regular round: 26000, training accuracy = 0.964.
Regular round: 26200, training accuracy = 0.964.
Regular round: 26400, training accuracy = 0.964.
Regular round: 26600, training accuracy = 0.964.
Regular round: 26800, training accuracy = 0.964.
Regular round: 27000, training accuracy = 0.966.
Regular round: 27200, training accuracy = 0.966.
Regular round: 27400, training accuracy = 0.966.
Regular round: 27600, training accuracy = 0.966.
Regular round: 27800, training accuracy = 0.966.
Regular round: 28000, training accuracy = 0.968.
Regular round: 28200, training accuracy = 0.968.
Regular round: 28400, training accuracy = 0.968.
Regular round: 28600, training accuracy = 0.968.
Regular round: 28800, training accuracy = 0.968.
Regular round: 29000, training accuracy = 0.968.
Regular round: 29200, training accuracy = 0.968.
Regular round: 29400, training accuracy = 0.968.
Regular round: 29600, training accuracy = 0.968.
Regular round: 29800, training accuracy = 0.968.
Regular round: 30000, training accuracy = 0.968.
Regular round: 30200, training accuracy = 0.968.
Regular round: 30400, training accuracy = 0.968.
Regular round: 30600, training accuracy = 0.968.
Regular round: 30800, training accuracy = 0.968.
Regular round: 31000, training accuracy = 0.968.
Regular round: 31200, training accuracy = 0.968.
Regular round: 31400, training accuracy = 0.968.
Regular round: 31600, training accuracy = 0.968.
Regular round: 31800, training accuracy = 0.968.
Regular round: 32000, training accuracy = 0.968.
Regular round: 32200, training accuracy = 0.968.
Regular round: 32400, training accuracy = 0.968.
Regular round: 32600, training accuracy = 0.968.
Regular round: 32800, training accuracy = 0.968.
Regular round: 33000, training accuracy = 0.968.
Regular round: 33200, training accuracy = 0.968.
Regular round: 33400, training accuracy = 0.968.
Regular round: 33600, training accuracy = 0.968.
Regular round: 33800, training accuracy = 0.968.
Regular round: 34000, training accuracy = 0.968.
Regular round: 34200, training accuracy = 0.968.
Regular round: 34400, training accuracy = 0.968.
Regular round: 34600, training accuracy = 0.968.
Regular round: 34800, training accuracy = 0.968.
Regular round: 35000, training accuracy = 0.968.
